Unnamed: 0,序号,构件类型,构件位置,截面尺寸(mm),截面型式示意,纵筋规格,纵筋数量,箍筋规格,非加密区箍筋长度(mm),非加密区箍筋档数,加密区箍筋长度(mm),加密区箍筋档数,加密区长度(mm),保护层厚度(mm),备注,Unnamed: 16,箍筋实测
,1,一层柱,4/M,600×503,,,5×5,,780,4,370,4,795,,"3609<br>圆:532 (1.6,9)",,/@195（92）
,2,一层柱,4/N,602×501,,Φ24,5×5,Φ8.0,85,4,375,4,845,45.25,"3610 3611<br>圆:533 (2.5,10)",,/@21（94）
,3,一层柱,4/P,602×503,,,5×5,,800,4,405,4,820,,"3612<br>圆:534 (3.5,8)",,/@200（101）
,4,一层柱,3/M,803×504,,,5×5,,1015,5,410,4,895,,"3613<br>圆:544 (1.5,10)",,/@203（102）
,5,一层柱,3/N,802×507,,,5×5,,975,5,430,4,920,,"3614<br>圆:545 (1.5,8)",,/@195（108）
,6,一层柱,3/P,806×501,,Φ24,5×5,Φ8.0,980,5,465,5,1045,30.32,"3615 3616<br>圆:546 (3.5,8)",,/@196（93）
,7,一层柱,2/M,602×504,,,5×5,,775,4,435,4,915,,"3617<br>圆:547 (1.5,10)",,/@194（109）
,8,一层柱,2/N,600×509,,,5×5,,790,4,530,5,1105,,"3618<br>圆:548 (3.5,8)",,/@198（106）
,9,一层柱,2/P,607×500,,,5×5,,870,4,400,4,860,,"359<br>圆:549 (3.5,10)",,/@218（100）
,10,一层柱,2/L,610×503,,,5×5,,1035,5,515,5,950,,,,/@207（103）
